DATE;GameID;CustomID;BlueScore;OrangeScore;GameLength;TeamSize;Mode;IdPlayer;Name;Score;Goals;Assists;Saves;Shots;IsOrange;BoostUsage;SmallBoost;LargeBoost;BoostOverflow;BoostDuringSuperSonic;TimeFullBoost;TimeLowBoost;StolenBoost;AverageBoostLevel;TimeClosestToBall;TimeFurthestFromBall;PossessionTime;TurnoversLoose;TurnoversOnMyHalf;TurnoverOnThierHalf;TurnoversWin;TimeOnGround;TimeLowInAir;TimeHightInAir;TimeInDefendingHalf;TimeInAttackingHalf;TimeInDefendingThird;TimeInNeutralThird;TimeInAttackingThird;TimeBehindBall;TimeInFrontBall;TimeNearWall;TimeInCorner;TimeOnWall;AverageSpeed;TotalHits;TotalPasses;TotalSaves;TotalShots;TotalDribbles;TotalDribblesConts;TotalAerial;TotalClears;TimeAtSlowSpeed;TimeAtSuperSonic;TimeAtBoostSpeed;TotalCarries;TotalFlick;LongestCarry;TotalCarryTime;FastestCarrySpeed;VarianceBallZVelocity;TotalKickoffs;numTimeBoost;numTimeCheat;numTimeDefend;NumTimeGoToBall;NumTimeFirstTouch;AverageBoostUsed;Adversaire
2024-10-17 21:58:58.3709303;15D295E940C6C3069DDFAB942BA36EC8;MynoteetNeazo AxPangarnSniperAmy lft40251854659523;2;3;329.40281873500004;2;UNRANKED_DOUBLES;b460bb8f9eb;Mynoteet;546;1;1;3;3;0;2603.5351032510844;0;0;0.0;0.0;0.0;89.66077998761645;0;0.0;24.107032499283033;27.108125264051687;17.08467279943781;10;3;2;10;57.73247865859674;37.62229438804501;1.7438635543739038;58.526998703704635;41.438196038574645;38.37639230364249;42.13664313105411;19.452159307582676;71.1282789594129;28.83691578286639;11.49018238227311;0.9774738741960508;11.49018238227311;14639.456486392135;38;10;3;2;7;7;7;4;9.712392362597758;12.957167916142401;53.62720881180758;1;1;1.7195291060000002;1.7195291060000002;14260.70219933722;24975488.404902868;6;0;2;0;4;1;0.0;
2024-10-17 21:58:58.3709303;15D295E940C6C3069DDFAB942BA36EC8;MynoteetNeazo AxPangarnSniperAmy lft40251854659523;2;3;329.40281873500004;2;UNRANKED_DOUBLES;76561198047874307;SniperAmy lft;402;1;1;2;3;1;2697.183238321713;0;0;0.0;0.0;0.0;83.56905622002355;0;0.0;22.90535997862843;23.95824972387082;26.13574732681925;7;3;3;10;50.473407060840756;37.83899206620733;5.788058792945045;56.00026862957742;42.13222203197064;38.446527433295365;32.03706156864985;27.64890165960285;67.39434554067826;30.727038385311033;19.286143374841085;1.2551350419153842;19.286143374841085;15640.088982849311;40;7;2;2;10;9;16;4;7.396504447219275;18.976341164307968;59.099156863806336;0;0;0;0;0;0;6;0;2;0;4;3;NaN;
2024-10-17 21:58:58.3709303;15D295E940C6C3069DDFAB942BA36EC8;MynoteetNeazo AxPangarnSniperAmy lft40251854659523;2;3;329.40281873500004;2;UNRANKED_DOUBLES;b64ace7a67b;Neazo Ax;595;2;0;1;6;1;2008.1007729791281;0;0;0.0;0.0;0.0;78.1713555830705;0;0.0;27.611640557991592;26.648605883855424;26.050467045648972;10;3;4;10;59.427858362524766;34.105601335299994;4.810038869383994;66.9204046141873;33.044790128091975;45.378346782834484;38.96002805496454;15.626819904480255;78.28116625208511;21.684028490194148;13.325415593456821;1.4995902348285346;13.325415593456821;14543.8928191334;51;6;1;5;17;15;13;7;9.6447505494962;9.96537927819257;52.52999487208496;2;0;2.5986545089999997;3.69634031;14280.987236071453;2742065.9929837757;6;0;4;0;2;0;0.0;
2024-10-17 21:58:58.3709303;15D295E940C6C3069DDFAB942BA36EC8;MynoteetNeazo AxPangarnSniperAmy lft40251854659523;2;3;329.40281873500004;2;UNRANKED_DOUBLES;76561197969412711;Pangarn;518;1;1;3;3;0;2553.098703335421;0;0;0.0;0.0;0.0;83.14984384160398;0;0.0;25.341161706377136;22.250213870502293;23.874735294620546;10;4;5;7;46.22415898647607;41.63180566506453;8.898159053575105;60.750936878591176;39.2142578636881;42.856110295027165;31.002412922931416;26.106671524320706;71.07554106613463;28.88965367614464;17.599143658402546;0.8886137951827383;17.599143658402546;15635.298492083766;43;7;2;2;10;10;12;4;8.511571587842289;17.018636840840067;60.108658946627216;1;0;1.470674907;1.470674907;15214.533168230657;7748114.734846153;6;0;3;0;2;2;NaN;
2024-10-17 21:26:22.0823139;4DDCD0854F279CD92D573CB1100912AA;ADGAMINCealErik Bartalemew James da 3rd jrMynoteetRezorxxLCxx21223326034134835510;1;0;335.087883852;3;UNRANKED_STANDARD;b460bb8f9eb;Mynoteet;355;1;0;2;1;0;2431.8030255956023;0;0;0.0;0.0;0.0;81.64303422078606;0;0.0;19.874571481198352;21.046670968309254;12.603502447332051;6;2;3;7;57.78271488100668;32.75303589773317;2.6750921334294304;67.96092351479415;30.98327129036252;52.76721430163541;28.975817903008455;17.201162600512802;74.27449318935275;24.66970161580392;23.030903034705286;1.3542922975407707;23.030903034705286;14667.382902687676;29;5;1;0;5;5;10;1;8.615560788450034;10.367818616307929;53.08984384274875;1;0;1.8659624060000002;1.8659624060000002;14332.003148851578;15888234.961529411;2;0;1;0;1;1;0.0;
2024-10-17 21:26:22.0823139;4DDCD0854F279CD92D573CB1100912AA;ADGAMINCealErik Bartalemew James da 3rd jrMynoteetRezorxxLCxx21223326034134835510;1;0;335.087883852;3;UNRANKED_STANDARD;76561198088156226;xxLCxx;260;0;0;0;2;0;1933.0036959898835;0;0;0.0;0.0;0.0;69.80122976821849;0;0.0;16.599168647520305;13.730585899465522;18.44359950367424;5;5;0;8;58.69765309057624;32.63051187260867;4.193429153411668;61.76349378284593;38.213833568078655;45.52719092892665;30.12763295332663;24.322503468671314;70.37275646622653;29.604570884698045;18.639930410192658;0.8627418197778995;18.639930410192658;14223.74852120595;32;8;0;0;6;6;17;5;8.75887131567044;8.539864860837195;46.40154783324654;0;0;0;0;0;0;2;1;0;0;1;0;0.0;
2024-10-17 21:26:22.0823139;4DDCD0854F279CD92D573CB1100912AA;ADGAMINCealErik Bartalemew James da 3rd jrMynoteetRezorxxLCxx21223326034134835510;1;0;335.087883852;3;UNRANKED_STANDARD;76561198063424099;Rezor;212;0;0;2;1;1;2266.5799036221683;0;0;0.0;0.0;0.0;80.39117311563979;0;0.0;11.616239294164417;18.29380974934787;14.361222880339838;7;3;4;5;62.941966478905606;31.411951869166867;2.5114644069664323;64.3985644417719;35.58968111949781;45.44871192635067;35.090893043132084;19.448640591786955;77.27579613125259;22.712449430017116;18.979117937934483;1.3322914766956453;18.979117937934483;13714.866240135761;28;3;1;0;5;5;10;4;9.962333627599653;6.602084734514308;45.1722664854257;0;0;0;0;0;0;2;1;0;0;1;1;0.0;
2024-10-17 21:26:22.0823139;4DDCD0854F279CD92D573CB1100912AA;ADGAMINCealErik Bartalemew James da 3rd jrMynoteetRezorxxLCxx21223326034134835510;1;0;335.087883852;3;UNRANKED_STANDARD;76561198362458305;Erik Bartalemew James da 3rd jr;348;0;1;1;5;0;1735.623667079918;0;0;0.0;0.0;0.0;63.068391234741874;0;0.0;14.365449387081103;18.19121887854455;17.554530998793354;8;3;5;12;46.17223583540099;31.54994131470713;1.9765015156218608;47.066087233299605;37.05503748975939;34.42109000274782;24.78613350779447;24.913901212516702;56.09933004113841;28.021794681920596;37.04830162013004;2.1508120276241325;37.04830162013004;14659.999850129716;43;8;0;6;8;8;19;4;7.338555715688299;7.338565461191367;44.59960496244232;0;0;0;0;0;0;2;0;1;0;0;0;NaN;
2024-10-17 21:26:22.0823139;4DDCD0854F279CD92D573CB1100912AA;ADGAMINCealErik Bartalemew James da 3rd jrMynoteetRezorxxLCxx21223326034134835510;1;0;335.087883852;3;UNRANKED_STANDARD;76561198411959440;ADGAMIN;341;0;0;3;1;1;1493.7144774193684;0;0;0.0;0.0;0.0;69.16921332982801;0;0.0;17.6033737450959;9.671716374356901;16.631013791180198;10;5;5;8;55.8923565394327;30.88326102047522;3.0896874891402333;60.205342089928834;38.39612312864951;45.433540334523606;30.441582250420467;22.72634263363428;72.77050666048562;25.83095855809272;27.350688554731217;1.7378240424747733;27.350688554731217;13548.309512097594;35;6;2;1;6;6;9;4;10.369437069633559;6.486668649768373;43.41310141498624;2;0;1.1342267010000002;2.1587321000000004;13158.915403836882;4177121.965734084;2;1;1;0;0;0;NaN;
2024-10-17 21:26:22.0823139;4DDCD0854F279CD92D573CB1100912AA;ADGAMINCealErik Bartalemew James da 3rd jrMynoteetRezorxxLCxx21223326034134835510;1;0;335.087883852;3;UNRANKED_STANDARD;76561198112591647;Ceal;233;0;0;2;1;1;1935.8471306093218;0;0;0.0;0.0;0.0;72.35707960723641;0;0.0;19.92944300621031;19.054243691246352;18.302299222817442;10;4;6;6;43.63308347567021;44.780752711809626;4.18186997957502;58.03300443291731;41.627666527509824;40.907146882560085;32.8827791516528;25.870744926214257;62.63279156183891;37.02787939858824;27.475372012156534;0.6774230896998311;27.475372012156534;14535.348063742491;28;5;3;0;4;4;11;3;10.144020650120872;10.429088254481616;50.968464471974805;0;0;0;0;0;0;2;0;1;0;1;0;NaN;
2024-10-17 21:52:19.7358647;67D74DC24B97324694D51A9CAF54BA4A;Astro_WarzMynoteetMyrtlePangarnsim.nk1617670470697772;7;2;329.92360630499996;2;UNRANKED_DOUBLES;b460bb8f9eb;Mynoteet;977;4;3;2;7;0;2886.2593486316323;0;0;0.0;0.0;0.0;88.77636839881916;0;0.0;30.98213211651954;18.045579321766223;24.40045191782325;11;3;5;10;54.470498165222224;40.20467106235974;1.431331260253757;59.694665085871826;40.305334914128196;42.62655761891406;32.09669707996132;25.276745301124627;76.75636954934745;23.243630450652546;17.326442927868083;2.2292790771693674;17.326442927868083;15291.47988485923;55;7;2;3;14;13;8;2;7.442840301430048;13.87581706708158;57.33379950694708;1;1;1.9025790010000003;1.9025790010000003;15011.60472216519;12492845.522484915;10;1;3;0;6;4;0.0;
2024-10-17 21:52:19.7358647;67D74DC24B97324694D51A9CAF54BA4A;Astro_WarzMynoteetMyrtlePangarnsim.nk1617670470697772;7;2;329.92360630499996;2;UNRANKED_DOUBLES;76561197969412711;Pangarn;706;2;0;4;6;1;2850.370027982257;0;0;0.0;0.0;0.0;85.28207568963253;0;0.0;32.11854720969533;23.22550697241191;25.07702167983551;9;5;4;12;44.13143813462052;44.2330636796232;4.791441201811461;59.71400724108001;39.68645678537968;46.69231732499567;24.88951746274469;27.81862923871934;68.74438798093449;30.644986842054823;26.897545713040767;2.772546837265028;26.897545713040767;15605.94789941149;59;2;4;5;21;20;21;4;7.664798986715206;19.254155384769696;59.59220581210594;2;0;1.353709402;2.5244590049999998;15215.100768276192;5502306.043806063;10;2;4;0;3;3;NaN;
2024-10-17 21:52:19.7358647;67D74DC24B97324694D51A9CAF54BA4A;Astro_WarzMynoteetMyrtlePangarnsim.nk1617670470697772;7;2;329.92360630499996;2;UNRANKED_DOUBLES;bdc02fa1cab;sim.nk;704;3;1;1;7;0;2526.7632456082456;0;0;0.0;0.0;0.0;82.55371508251717;0;0.0;18.67767962260742;29.492429693572408;18.345499274776426;8;3;3;8;47.437242782596286;41.636857237492606;4.270287193386103;66.61414932183631;33.385850678163706;49.01212316117599;30.391602678865492;20.596274159958526;77.50615182916201;22.493848170838;22.991336734745932;1.0991418400196613;22.991336734745932;15284.663188558618;44;5;1;7;14;13;13;4;8.783809497465693;16.226440104291804;59.31399378894094;1;0;1.0977891030000002;1.0977891030000002;14956.17664421641;21032455.167540222;10;5;1;0;4;1;0.0;
2024-10-17 21:52:19.7358647;67D74DC24B97324694D51A9CAF54BA4A;Astro_WarzMynoteetMyrtlePangarnsim.nk1617670470697772;7;2;329.92360630499996;2;UNRANKED_DOUBLES;b30b;Myrtle;16;0;0;0;0;1;260.4463344212521;0;0;0.0;0.0;0.0;12.800434970681884;0;0.0;2.029606180350036;5.99998264680097;3.8936958967174453;2;0;1;1;19.986381947777797;2.6187199554350484;0.0;10.813773879829014;11.89101058435098;8.118081437991998;7.59912329941698;6.987579726771016;14.342120523881682;8.362663940298312;81.62034246135696;0.2883408424920527;81.62034246135696;12246.493346077224;5;1;1;0;0;0;0;0;3.8706759922460443;0.6771361494923575;7.032452966263643;0;0;0;0;0;0;10;0;0;1;2;1;NaN;
2024-10-17 21:52:19.7358647;67D74DC24B97324694D51A9CAF54BA4A;Astro_WarzMynoteetMyrtlePangarnsim.nk1617670470697772;7;2;329.92360630499996;2;UNRANKED_DOUBLES;6c0ebb70c4ca421eace43690a6592cec;Astro_Warz;176;0;1;0;2;1;1688.5439582711488;0;0;0.0;0.0;0.0;60.52474475845716;0;0.0;16.192034870828408;23.236501365449232;18.111075815157417;7;3;3;6;45.41882463677746;26.496532661317236;2.2075629508810994;51.508044430109834;25.78717110571019;38.54178826581071;27.27388045304484;11.479546816964467;55.997656274770215;21.2975592610498;39.45502534931137;1.8634504765677413;39.45502534931137;13844.274312133452;26;5;0;2;5;5;5;3;10.228048647056905;6.0559234544524845;35.637319637051746;0;0;0;0;0;0;10;0;2;0;5;1;NaN;
2024-10-17 21:19:56.5462976;7AF1490B47B1C567FB605983954AE3C3;AvoZiaxisMatouMynoteetRosie auchShowkapic.v2xxLCxx21826130241250161624;2;4;316.27337160800005;3;UNRANKED_STANDARD;b460bb8f9eb;Mynoteet;302;0;1;2;1;0;2313.6003334260877;0;0;0.0;0.0;0.0;87.22969007075785;0;0.0;19.0677335734562;9.59319536284112;14.950757954294987;5;3;0;7;53.23604076181451;39.635045034511904;3.529321310943287;73.99934380535753;26.000656194642453;50.789406578336425;40.717520808426656;8.493072613236894;66.16063509366501;33.839364906334986;17.448258002383195;0.821422521216859;17.448258002383195;13994.015535082239;30;7;2;0;4;4;10;5;11.27992045635042;10.238504522642776;49.85096825995683;0;0;0;0;0;0;7;0;3;0;4;2;0.0;
2024-10-17 21:19:56.5462976;7AF1490B47B1C567FB605983954AE3C3;AvoZiaxisMatouMynoteetRosie auchShowkapic.v2xxLCxx21826130241250161624;2;4;316.27337160800005;3;UNRANKED_STANDARD;76561198125716518;Rosie auch;261;0;1;1;1;0;1847.8909503689704;0;0;0.0;0.0;0.0;76.21047961089162;0;0.0;18.37435512055307;14.034252122247723;14.832040474195086;7;4;1;4;46.36579295007924;41.89133760214692;3.2971815072452415;63.34245119133911;34.725418113644935;43.532969039723405;31.496256343852213;23.03864392140843;48.69517781752587;49.37269148745817;27.229530848629192;1.1798951306040357;27.229530848629192;14301.522618906092;26;5;0;1;3;3;14;6;11.335294894011593;12.808679380447524;50.192763876990334;0;0;0;0;0;0;7;4;1;0;2;1;0.0;
